id,display_name,description,works_count,cited_by_count,domain_id,domain_name,field_id,field_name,subfield_id,subfield_name,keywords,wikipedia
T11372,Hydraulic and Pneumatic Systems,"This cluster of papers focuses on the control and optimization of hydraulic systems, including adaptive and robust control strategies for hydraulic actuators, real-time simulation, modeling of system dynamics, and feedback control in electro-hydraulic systems.",96426,414035,domains/3,Physical Sciences,fields/22,Engineering,subfields/2210,Mechanical Engineering,Hydraulic Systems; Control; Adaptive; Robust; Actuators; Real-Time; Simulation; Modeling; Feedback; Electro-Hydraulic,
T10734,Information and Cyber Security,"This cluster of papers focuses on information security policy compliance, awareness, and behavioral intentions in organizations. It covers topics such as deterrence, attack graphs, risk management, insider threats, game theory, and cybersecurity. The papers explore the influence of rationality-based beliefs, fear appeals, and protection motivation on security behaviors, as well as the role of top management and organizational culture in improving compliance with information security policies.",96324,523513,domains/3,Physical Sciences,fields/17,Computer Science,subfields/1710,Information Systems,Information Security; Policy Compliance; Security Awareness; Deterrence; Attack Graphs; Risk Management; Insider Threats; Game Theory; Cybersecurity; Behavioral Intentions,
T10273,IoT and Edge/Fog Computing,"This cluster of papers explores the intersection of Internet of Things (IoT) and edge computing, including topics such as fog computing, mobile edge computing, security and privacy challenges, applications in smart cities and healthcare, 5G networks, and the integration of deep learning with IoT. The papers also discuss the potential of IoT in enabling technologies, the challenges in architecture, and the future directions for IoT development.",96322,1334154,domains/3,Physical Sciences,fields/17,Computer Science,subfields/1705,Computer Networks and Communications,Internet of Things; Edge Computing; Fog Computing; Mobile Edge Computing; Security and Privacy; Smart Cities; Healthcare; 5G Networks; Deep Learning; IoT Security,
T10342,Circadian rhythm and melatonin,"This cluster of papers focuses on the molecular, genetic, and physiological aspects of mammalian circadian rhythms, including the role of the circadian clock, melatonin, retinal ganglion cells, metabolism, peripheral clocks, phototransduction, gene expression, oxidative stress, and the health effects of sleep disruption.",96264,2621173,domains/1,Life Sciences,fields/28,Neuroscience,subfields/2807,Endocrine and Autonomic Systems,Circadian Clock; Melatonin; Retinal Ganglion Cells; Metabolism; Peripheral Clocks; Phototransduction; Gene Expression; Oxidative Stress; Sleep Disruption; Health Effects,
T10201,Speech Recognition and Synthesis,"This cluster of papers focuses on the advances in speech recognition technology, covering topics such as acoustic modeling using deep neural networks, speaker verification, convolutional neural networks for speech recognition, end-to-end speech recognition systems, hidden Markov models, sequence-to-sequence models, automatic speech recognition, speaker diarization, and statistical language modeling.",96170,993388,domains/3,Physical Sciences,fields/17,Computer Science,subfields/1702,Artificial Intelligence,Deep Neural Networks; Acoustic Modeling; Speaker Verification; Convolutional Neural Networks; End-to-End Speech Recognition; Hidden Markov Models; Sequence-to-Sequence Models; Automatic Speech Recognition; Speaker Diarization; Statistical Language Modeling,
T10499,Folate and B Vitamins Research,"This cluster of papers explores the role of homocysteine in various health conditions, including cardiovascular disease, neural tube defects, cognitive impairment, and endothelial dysfunction. It also investigates the impact of folate, vitamin B12, and one-carbon metabolism on homocysteine levels and associated diseases.",96113,1662032,domains/4,Health Sciences,fields/27,Medicine,subfields/2745,Rheumatology,Homocysteine; Folate; Vitamin B12; Cardiovascular Disease; Neural Tube Defects; Methylation; One-Carbon Metabolism; Cognitive Impairment; Folic Acid; Endothelial Dysfunction,
T10728,Pulmonary Hypertension Research and Treatments,"This cluster of papers focuses on the diagnosis, assessment, and treatment guidelines for pulmonary hypertension, with an emphasis on right heart assessment using echocardiography. It covers topics such as survival prediction, vascular remodeling, endothelial dysfunction, BMPR2 mutations, and hemodynamic classification.",96054,1334064,domains/4,Health Sciences,fields/27,Medicine,subfields/2740,Pulmonary and Respiratory Medicine,Pulmonary Hypertension; Right Heart Assessment; Echocardiography; Treatment Guidelines; Chronic Kidney Disease; Survival Prediction; Vascular Remodeling; Endothelial Dysfunction; BMPR2 Mutations; Hemodynamic Classification,
T10277,Vitamin D Research Studies,"This cluster of papers focuses on the evaluation, treatment, and prevention of vitamin D deficiency, as well as its impact on various health outcomes such as bone health, cancer, cardiovascular disease, and the immune system. The papers also cover topics like supplementation, epidemiology, genetic determinants, and the role of vitamin D in specific conditions like diabetes and multiple sclerosis.",96003,1966509,domains/4,Health Sciences,fields/27,Medicine,subfields/2734,Pathology and Forensic Medicine,Vitamin D; Deficiency; Supplementation; Health; Bone; Cancer; Cardiovascular Disease; Immune System; Meta-analysis; Clinical Practice Guideline,
T10219,Mechanical Behavior of Composites,"This cluster of papers focuses on advances in composite materials and structures, with a particular emphasis on topics such as delamination, cohesive zone models, fiber-reinforced composites, finite element analysis, adhesive joints, ballistic impact, damage modeling, fracture mechanics, and textile composites. The papers cover a wide range of research areas including simulation, experimental analysis, and mechanical behavior of composite materials.",95986,1412806,domains/3,Physical Sciences,fields/22,Engineering,subfields/2211,Mechanics of Materials,Delamination; Cohesive Zone Models; Fiber-Reinforced Composites; Finite Element Analysis; Adhesive Joints; Ballistic Impact; Damage Modeling; Fracture Mechanics; Textile Composites; Mechanical Behavior,
T11691,Forest Insect Ecology and Management,"This cluster of papers explores the complex interactions and impacts of forest pest dynamics, focusing on bark beetles, invasive species, climate change, ecosystem disturbances, tree defense mechanisms, and the economic implications of biological invasions. The research delves into the drivers, consequences, and management strategies related to forest pest outbreaks and their effects on forest ecosystems.",95956,773144,domains/3,Physical Sciences,fields/23,Environmental Science,subfields/2303,Ecology,Forest Pests; Bark Beetles; Invasive Species; Climate Change; Ecosystem Disturbances; Tree Defense Mechanisms; Global Warming; Pathogen Invasions; Economic Impacts; Biological Invasions,
T13561,Chemical Reactions and Isotopes,"This cluster of papers focuses on the use of deuterium and tritium labeling, hydrogen isotope exchange, and catalysis in drug discovery and development. It explores applications in medicinal chemistry, metabolism studies, and the incorporation of deuterium into pharmaceutical compounds. The research also highlights the use of iridium-catalyzed reactions and the impact of deuterium substitution on drug pharmacokinetics.",95926,630543,domains/1,Life Sciences,fields/30,"Pharmacology, Toxicology and Pharmaceutics",subfields/3003,Pharmaceutical Science,Deuterium; Drug Discovery; Isotope Chemistry; Medicinal Chemistry; Catalysis; Pharmaceutical Compounds; Tritium Labeling; Hydrogen Isotope Exchange; Metabolism Studies; Iridium-Catalyzed Reactions,
T10370,Traffic and Road Safety,"This cluster of papers focuses on the analysis of traffic safety, driver behavior, and injury severity in road accidents. It covers topics such as crash prediction models, risk factors for traffic accidents, pedestrian safety, spatial analysis of road accidents, and the impact of traffic congestion on road safety.",95829,986117,domains/3,Physical Sciences,fields/22,Engineering,subfields/2213,"Safety, Risk, Reliability and Quality",Traffic Accidents; Driver Behavior; Injury Severity; Road Safety; Pedestrian Safety; Crash Prediction Models; Risk Factors; Spatial Analysis; Traffic Congestion; Simulation Models,
T10516,Parathyroid Disorders and Treatments,"This cluster of papers focuses on the complex interplay of FGF23, phosphate, calcification, and mineral metabolism in the context of chronic kidney disease. It explores the role of parathyroid hormone, vascular health, and the impact of Klotho deficiency on mineral homeostasis. The cluster also delves into the implications of hyperphosphatemia and calcification on cardiovascular risk in patients with chronic kidney disease.",95825,1421105,domains/4,Health Sciences,fields/27,Medicine,subfields/2727,Nephrology,FGF23; phosphate; calcification; chronic kidney disease; parathyroid hormone; vascular; mineral metabolism; calcitriol; Klotho; hyperphosphatemia,
T11036,Antibiotics Pharmacokinetics and Efficacy,"This cluster of papers focuses on the pharmacokinetics of antibiotics, particularly in critically ill patients. It covers topics such as drug dosing, antimicrobial resistance, therapeutic drug monitoring, and the impact of factors like augmented renal clearance on antibiotic levels in the body.",95694,1158479,domains/4,Health Sciences,fields/27,Medicine,subfields/2736,Pharmacology,Antibiotic Pharmacokinetics; Critically Ill Patients; Pharmacodynamic; Beta-lactam Antibiotics; Drug Dosing; Antimicrobial Resistance; Continuous Infusion; Aminoglycosides; Therapeutic Drug Monitoring; Augmented Renal Clearance,
T10442,Knee injuries and reconstruction techniques,"This cluster of papers focuses on the biomechanical measures, neuromuscular control, and risk factors related to anterior cruciate ligament (ACL) injuries in athletes. It covers topics such as knee biomechanics, injury mechanisms, rehabilitation strategies, graft selection, and long-term consequences including knee osteoarthritis. The cluster also explores the effectiveness of neuromuscular training programs and the psychological impact of returning to sport after ACL reconstruction surgery.",95692,1746415,domains/4,Health Sciences,fields/27,Medicine,subfields/2746,Surgery,Anterior Cruciate Ligament; Injury Risk; Knee Biomechanics; Athletic Rehabilitation; Meniscus Injuries; Neuromuscular Control; Return to Sport; Graft Selection; Knee Osteoarthritis; Biomechanical Analysis,
T10883,Ethics and Social Impacts of AI,"This cluster of papers explores the ethical implications of artificial intelligence, focusing on fairness, algorithmic bias, and accountability in the context of big data, machine learning, and surveillance. It delves into topics such as the societal impact of AI, discrimination in algorithms, transparency in decision-making processes, and the challenges of ensuring fairness and ethics in AI applications.",95679,553077,domains/2,Social Sciences,fields/33,Social Sciences,subfields/3311,Safety Research,Ethics; Fairness; Algorithmic Bias; Big Data; Machine Learning; Artificial Intelligence; Surveillance; Transparency; Discrimination; Accountability,
T11631,"Retirement, Disability, and Employment","This cluster of papers explores the impact of retirement on the aging workforce, including topics such as health effects, employment patterns, social security programs, age discrimination, bridge employment, work motivation, and retirement adjustment.",95600,600670,domains/2,Social Sciences,fields/33,Social Sciences,subfields/3317,Demography,Retirement; Aging Workforce; Health Effects; Employment Patterns; Social Security Programs; Age Discrimination; Bridge Employment; Work Motivation; Labor Force Participation; Retirement Adjustment,
T13742,Metallurgy and Cultural Artifacts,"This cluster of papers focuses on the archaeometallurgical study of ancient iron production, including the analysis of iron artifacts, slag inclusions, and smelting processes. It involves provenance research, metallographic studies, and the examination of historical ironworking techniques.",95408,114144,domains/2,Social Sciences,fields/33,Social Sciences,subfields/3302,Archeology,Iron Production; Archaeological Analysis; Metallographic Study; Provenance Research; Ancient Metallurgy; Smelting Processes; Iron Artifacts; Slag Inclusions; Historical Ironworking; Metallurgical Investigation,
T10654,Pneumonia and Respiratory Infections,"This cluster of papers focuses on the management, epidemiology, and vaccination strategies for pneumonia, with a specific emphasis on community-acquired pneumonia and the role of Streptococcus pneumoniae. It covers topics such as the efficacy and safety of pneumococcal conjugate vaccines, burden of disease in children, antimicrobial resistance, and global estimates of morbidity and mortality due to lower respiratory infections.",95396,1407551,domains/4,Health Sciences,fields/27,Medicine,subfields/2713,Epidemiology,Pneumococcal Conjugate Vaccine; Community-Acquired Pneumonia; Streptococcus Pneumoniae; Antimicrobial Resistance; Childhood Pneumonia; Invasive Pneumococcal Disease; Clinical Practice Guidelines; Vaccination; Epidemiology; Respiratory Infections,
T11243,Respiratory viral infections research,"This cluster of papers explores the epidemiology, pathogenesis, and clinical impact of respiratory viral infections, with a focus on Respiratory Syncytial Virus (RSV), Human Metapneumovirus, bronchiolitis, viral pneumonia, and influenza virus. It covers topics such as disease burden, vaccine development, host immune response, and the impact of these infections on different age groups.",95368,1270999,domains/4,Health Sciences,fields/27,Medicine,subfields/2713,Epidemiology,Respiratory Syncytial Virus; Human Metapneumovirus; Bronchiolitis; Viral Pneumonia; Influenza Virus; Viral Infections; Vaccine Development; Disease Burden; Host Immune Response; Epidemiology,
T10175,Advanced DC-DC Converters,"This cluster of papers covers advancements in power electronics and conversion systems, focusing on topics such as DC-DC converters, high-frequency power conversion, integration of renewable energy sources, solid-state transformers, electric vehicle charging infrastructure, isolated bidirectional converters, switched-capacitor circuits, voltage boosting techniques, and digital control methods.",95346,1043536,domains/3,Physical Sciences,fields/22,Engineering,subfields/2208,Electrical and Electronic Engineering,Power Electronics; DC-DC Converters; High-Frequency Power Conversion; Renewable Energy Integration; Solid-State Transformers; Electric Vehicle Charging; Isolated Bidirectional Converters; Switched-Capacitor Circuits; Voltage Boosting Techniques; Digital Control,
T12886,Historical and Cultural Studies of Poland,"This cluster of papers covers a wide range of topics related to the cultural and social history of Poland and Eastern Europe, including the role of the Polish nobility, religious symbolism in art and architecture, urban and rural development, diplomatic relations, and intellectual movements. It provides insights into the historical linguistics, artistic patronage, traditional architecture, and the rural landscape of the region.",95318,32178,domains/2,Social Sciences,fields/12,Arts and Humanities,subfields/1202,History,Polish nobility; Eastern European culture; Religious symbolism; Urban development; Historical linguistics; Artistic patronage; Rural landscape; Traditional architecture; Diplomatic relations; Intellectual movements,
T13521,Psychosocial Factors Impacting Youth,"This cluster of papers explores the influence of multicultural factors, such as acculturation stress, parenting behavior, and social support, on the well-being and adjustment of adolescents. The research covers topics like depression, ego-resilience, school adjustment, and psychological development in the context of multicultural families and communities.",95275,177269,domains/2,Social Sciences,fields/33,Social Sciences,subfields/3312,Sociology and Political Science,Multicultural Adolescents; Acculturation Stress; Parenting Behavior; School Adjustment; Psychological Factors; Social Support; Depression; Ego-Resilience; Adolescent Development; Family Relationships,
T12467,Rangeland Management and Livestock Ecology,"This cluster of papers explores the impact of rangeland degradation on pastoral livelihoods, focusing on the causes, consequences, and management strategies. It delves into topics such as the role of ecological knowledge, climate change adaptation, sustainable land management, and the implications for the sustainability of pastoral communities.",95249,716318,domains/3,Physical Sciences,fields/23,Environmental Science,subfields/2308,"Management, Monitoring, Policy and Law",Rangeland Degradation; Pastoralists; Livelihoods; Ecological Knowledge; Climate Change; Sustainability; Land Management; Grassland; Herders; Adaptation,
T11106,Data Management and Algorithms,"This cluster of papers focuses on the mining, analysis, and querying of GPS trajectories and moving object data. It covers topics such as trajectory clustering, skyline computation, similarity search, top-k query processing, probabilistic databases, location prediction, and semantic trajectory modeling.",95229,1126430,domains/3,Physical Sciences,fields/17,Computer Science,subfields/1711,Signal Processing,Trajectory Data Mining; GPS Trajectories; Skyline Operator; Similarity Search; Spatial Databases; Top-k Query Processing; Probabilistic Databases; Location Prediction; Clustering Algorithms; Semantic Trajectories,
T11147,Misinformation and Its Impacts,"This cluster of papers focuses on the spread of misinformation, fake news, and conspiracy theories through social media platforms. It explores topics such as infodemics, fact-checking, rumor detection, online credibility, and the impact of misinformation on public health and political polarization.",95178,963514,domains/2,Social Sciences,fields/33,Social Sciences,subfields/3312,Sociology and Political Science,Misinformation; Fake News; Social Media; Infodemic; Conspiracy Theories; Fact-Checking; Rumor Detection; Online Credibility; Polarization; Health Misinformation,
T12614,Indigenous Studies and Ecology,"This cluster of papers explores the health, well-being, and resilience of Arctic Indigenous Peoples, focusing on the impacts of climate change, traditional ecological knowledge, food security, and the nutrition transition. It highlights the vulnerability of communities such as the Inuit and Sami to environmental and social changes, and the importance of integrating traditional knowledge with scientific research for effective adaptation strategies.",94997,473268,domains/4,Health Sciences,fields/36,Health Professions,subfields/3600,General Health Professions,Arctic Indigenous Peoples; climate change; traditional knowledge; food security; nutrition transition; community-based monitoring; vulnerability; Inuit; Sami; ecological knowledge,
T11960,Relativity and Gravitational Theory,"This cluster of papers explores the theory of relativity, including special and general relativity, unified field theories, spacetime geometry, gauge symmetry, and quantum gravity. It delves into Einstein's contributions, symmetries, and the implications of general covariance.",94990,613765,domains/3,Physical Sciences,fields/31,Physics and Astronomy,subfields/3103,Astronomy and Astrophysics,Relativity; Unified Field Theories; General Covariance; Gauge Symmetry; Spacetime Geometry; Quantum Gravity; Einstein's Theory; Special and General Theory; Symmetry Breaking; Metric Gravity,
T12127,Software System Performance and Reliability,"This cluster of papers focuses on log analysis, performance prediction, and system diagnosis in the context of microservices, distributed systems, and cloud-native architectures. It covers techniques for anomaly detection, fault localization, and model-driven performance prediction using system logs.",94944,377193,domains/3,Physical Sciences,fields/17,Computer Science,subfields/1705,Computer Networks and Communications,Log Analysis; Performance Prediction; Microservices; Anomaly Detection; Fault Localization; Distributed Systems; Model-driven Performance Prediction; Cloud-Native Architecture; DevOps; System Logs,
T10050,Multi-Criteria Decision Making,"This cluster of papers focuses on the application and development of Multi-Criteria Decision Making (MCDM) methods, including Analytic Hierarchy Process (AHP), Technique for Order of Preference by Similarity to Ideal Solution (TOPSIS), and various fuzzy set theories. The papers cover topics such as group decision making, supplier selection, environmental decision making, and the use of Geographic Information Systems (GIS) in decision analysis.",94938,2264519,domains/2,Social Sciences,fields/18,Decision Sciences,subfields/1803,Management Science and Operations Research,Analytic Hierarchy Process; TOPSIS; Fuzzy Sets; Group Decision Making; Supplier Selection; MCDM Methods; Intuitionistic Fuzzy Sets; Environmental Decision Making; GIS-based Decision Analysis; Belief Functions,
T10035,Phytochemicals and Antioxidant Activities,"This cluster of papers focuses on the role of antioxidants, free radicals, and polyphenols in human health and disease. It covers topics such as oxidative stress, cancer prevention, bioavailability of dietary supplements, and the significance of phenolic compounds in nutrition. The research explores the potential benefits of antioxidants in combating oxidative stress-related conditions and their impact on human health.",94838,2783078,domains/4,Health Sciences,fields/27,Medicine,subfields/2704,Biochemistry,Antioxidants; Free Radicals; Polyphenols; Oxidative Stress; Flavonoids; Cancer Prevention; Dietary Supplements; Bioavailability; Phenolic Compounds; Nutritional Significance,
T11076,Policing Practices and Perceptions,"This cluster of papers explores the impact of procedural justice, legitimacy, and racial bias on public support for policing. It delves into topics such as community policing, citizen perceptions, use of force, and the influence of police culture on public trust. The research also examines the role of social identity in shaping attitudes towards law enforcement.",94709,408780,domains/2,Social Sciences,fields/33,Social Sciences,subfields/3320,Political Science and International Relations,Procedural Justice; Police Legitimacy; Racial Bias; Community Policing; Public Trust; Law Enforcement; Citizen Perceptions; Police Culture; Use of Force; Social Identity,
T12741,Maternal and Neonatal Healthcare,"This cluster of papers focuses on maternal and child health in Brazil, with an emphasis on prenatal care, neonatal mortality, birth cohort studies, health inequalities, and the impact of social determinants on maternal and child health outcomes. The papers also evaluate the quality of health information systems and address public health interventions to improve maternal and child health in Brazil.",94702,127403,domains/4,Health Sciences,fields/36,Health Professions,subfields/3600,General Health Professions,Maternal Health; Child Health; Prenatal Care; Neonatal Mortality; Health Inequalities; Birth Cohort Study; Health Information Systems; Perinatal Health; Public Health; Social Determinants,
T12754,Plant Growth and Agriculture Techniques,"This cluster of papers covers a wide range of topics related to soil science, plant nutrition, and sustainable agriculture. It includes research on soil fertility, organic farming, hydroponics, composting, and the analysis of fertilizers and soil properties. The papers also delve into crop production, horticulture, and the impact of environmental factors on plant growth.",94646,139031,domains/1,Life Sciences,fields/11,Agricultural and Biological Sciences,subfields/1111,Soil Science,Soil Fertility; Plant Nutrition; Organic Farming; Crop Production; Horticulture; Hydroponics; Composting; Fertilizers; Soil Analysis; Sustainable Agriculture,
T12739,Historical Studies on Spain,"This cluster of papers explores the role and significance of imperial courts throughout history, focusing on diplomacy, political power, ceremonial practices, social structure, military enterprise, interactions with barbarian groups, gender dynamics, and the rituals and architecture associated with palaces.",94644,68374,domains/2,Social Sciences,fields/12,Arts and Humanities,subfields/1202,History,Imperial Court; Diplomacy; Political Power; Ceremonial; Social Structure; Military Enterprise; Barbarians; Gender; Rituals; Palace,
T10657,Topological Materials and Phenomena,"This cluster of papers explores the properties and applications of topological insulators and superconductors, including phenomena such as quantum spin Hall effect, Majorana fermions, Dirac and Weyl semimetals, photonic topological insulators, and quantum anomalous Hall effect. It also delves into the potential for topological quantum computation.",94627,1543073,domains/3,Physical Sciences,fields/31,Physics and Astronomy,subfields/3107,"Atomic and Molecular Physics, and Optics",Topological Insulators; Superconductors; Quantum Spin Hall Effect; Majorana Fermions; Dirac Semimetals; Weyl Semimetals; Photonic Topological Insulators; Quantum Anomalous Hall Effect; Chiral Anomaly; Topological Quantum Computation,
T10754,Neuroendocrine Tumor Research Advances,"This cluster of papers focuses on the epidemiology, classification, management, and treatment of neuroendocrine tumors, with a specific emphasis on pancreatic neuroendocrine tumors. It covers topics such as somatostatin receptor-based imaging and therapy, MEN1 syndrome, peptide receptor radionuclide therapy, genetic mutations associated with these tumors, and survival analysis.",94586,1272051,domains/4,Health Sciences,fields/27,Medicine,subfields/2713,Epidemiology,Neuroendocrine Tumors; Pancreatic Neuroendocrine Tumors; Somatostatin Receptor; MEN1 Syndrome; Peptide Receptor Radionuclide Therapy; Gastroenteropancreatic Neoplasms; Tumor Classification; Survival Analysis; Therapeutic Guidelines; Genetic Mutations,
T10988,Advanced Fiber Laser Technologies,"This cluster of papers focuses on the generation, control, and applications of optical frequency combs and ultrafast lasers. It includes research on mode-locking, microresonators, saturable absorbers, fiber lasers, nonlinear optics, frequency synthesis, photonic chip-based combs, and their applications in microwave photonics.",94565,1188102,domains/3,Physical Sciences,fields/31,Physics and Astronomy,subfields/3107,"Atomic and Molecular Physics, and Optics",Optical Frequency Combs; Ultrafast Lasers; Mode-Locking; Microresonators; Saturable Absorbers; Fiber Lasers; Nonlinear Optics; Frequency Synthesis; Photonic Chip; Microwave Photonics,
T12623,"Cultural, Media, and Literary Studies","This cluster of papers explores the concept of cultural identity in the context of post-modernity, globalization, and multiculturalism. It delves into various disciplines such as media studies, anthropology, and sociology to analyze the impact of identity politics, colonialism, and social resilience on cultural identities.",94549,62571,domains/2,Social Sciences,fields/12,Arts and Humanities,subfields/1211,Philosophy,Cultural Identity; Post-Modernity; Globalization; Multiculturalism; Media Studies; Anthropology; Social Resilience; Identity Politics; Colonialism; Cultural Studies,
T11079,Creativity in Education and Neuroscience,"This cluster of papers encompasses a wide range of topics related to creativity, including cognitive processes, neuroscience, psychology, education, problem solving, personality traits, cultural influence, and brain activity. The papers explore the nature of creativity, its relationship to intelligence and personality, the impact of cultural experiences on creativity, and the cognitive processes underlying creative thinking.",94541,1225699,domains/2,Social Sciences,fields/32,Psychology,subfields/3205,Experimental and Cognitive Psychology,Creativity; Innovation; Cognitive Processes; Neuroscience; Psychology; Education; Problem Solving; Personality Traits; Cultural Influence; Brain Activity,
T12795,Banana Cultivation and Research,"This cluster of papers focuses on the genetics, domestication, cultivation, and challenges faced by bananas, including topics such as Mycosphaerella fijiensis disease, drought tolerance, ensete ventricosum, AFLP markers, phenylphenalenones, and nutrient balance in banana and plantain cultivation.",94485,402365,domains/1,Life Sciences,fields/11,Agricultural and Biological Sciences,subfields/1110,Plant Science,Banana; Genetics; Domestication; Mycosphaerella fijiensis; Drought Tolerance; Ensete ventricosum; AFLP Markers; Phenylphenalenones; Plantain; Nutrient Balance,
T13439,Transport and Economic Policies,"This cluster of papers explores the impact of railway deregulation, privatization, and competition on efficiency, infrastructure charging, market entry barriers, vertical separation, and regulatory reform. It analyzes the effects of open access, franchising, and vertical/horizontal restructuring in various European and international railway systems.",94468,129074,domains/2,Social Sciences,fields/14,"Business, Management and Accounting",subfields/1408,Strategy and Management,Railway Deregulation; Competition; Efficiency; Privatization; Infrastructure Charging; Market Entry Barriers; Vertical Separation; Franchising; Regulatory Reform; Open Access,
T13205,Geological and Geophysical Studies Worldwide,"This cluster of papers explores the geodynamic evolution, tectonic activity, and lithospheric structure of the Western Mediterranean region, focusing on areas such as the Atlas system, Alboran region, and plate boundaries. It investigates subduction, seismic activity, and the tectonic evolution of the region since the Mesozoic era.",94408,478132,domains/3,Physical Sciences,fields/19,Earth and Planetary Sciences,subfields/1908,Geophysics,Western Mediterranean; geodynamics; subduction; tectonic evolution; Atlas system; Alboran region; plate boundary; Mediterranean; seismic activity; lithospheric structure,
T12231,Contemporary Sociological Theory and Practice,"This cluster of papers explores the intersection of sociology with public discourse, policy, and global issues. It delves into social theories, postcolonial perspectives, symbolic interactionism, and the role of sociology in addressing social justice and globalization. The papers also discuss the impact of intellectual movements on sociological research and emphasize the importance of ethnography and the sociological imagination in understanding societal phenomena.",94336,648906,domains/2,Social Sciences,fields/33,Social Sciences,subfields/3312,Sociology and Political Science,Public Sociology; Social Theory; Globalization; Postcolonialism; Symbolic Interactionism; Intellectual Movements; Ethnography; Sociological Imagination; Scientific Communication; Social Justice,
T13690,Quality and Safety in Healthcare,"This cluster of papers focuses on the maintenance and management of medical equipment in healthcare settings. It covers topics such as predictive maintenance, regulatory affairs, clinical engineering, and the application of artificial neural networks and machine learning techniques in ensuring the performance and safety of medical devices.",94283,193871,domains/4,Health Sciences,fields/36,Health Professions,subfields/3607,Medical Laboratory Technology,Medical Equipment; Maintenance; Management; Healthcare; Clinical Engineering; Artificial Neural Network; Risk-based; Predictive Maintenance; Regulatory Affairs; Machine Learning,
T10823,Research on Leishmaniasis Studies,"This cluster of papers covers a wide range of topics related to leishmaniasis, including its global incidence, treatment, diagnosis, parasite biology, immunity, drug resistance, sandfly vectors, vaccine development, epidemiology, and the impact of the disease on society. The papers discuss various challenges and opportunities in the management and control of leishmaniasis.",94277,1214956,domains/4,Health Sciences,fields/27,Medicine,subfields/2739,"Public Health, Environmental and Occupational Health",Leishmaniasis; Treatment; Diagnosis; Parasite; Immunity; Drug Resistance; Sandflies; Vaccine Development; Epidemiology; Protozoan Infections,
T13352,International Relations in Latin America,"This cluster of papers explores the dynamics of regional integration in Latin America, focusing on topics such as economic integration, foreign policy, trade agreements, and geopolitical implications. It delves into the complexities of South-South relations, the role of autonomy, and the impact of regional organizations like the Pacific Alliance and Mercosur.",94224,132371,domains/2,Social Sciences,fields/33,Social Sciences,subfields/3320,Political Science and International Relations,Regionalism; Economic Integration; Latin America; Foreign Policy; Geopolitics; Trade Agreements; South-South Relations; Autonomy; Pacific Alliance; Mercosur,
T11144,melanin and skin pigmentation,"This cluster of papers explores the genetics, regulation, and adaptive significance of melanin pigmentation in mammalian skin, including its role in UV damage protection, hormonal regulation, and conditions such as vitiligo. It covers a wide range of topics from the molecular mechanisms of melanogenesis to the evolutionary and adaptive aspects of skin coloration.",94191,1130690,domains/1,Life Sciences,fields/13,"Biochemistry, Genetics and Molecular Biology",subfields/1307,Cell Biology,Melanin; Pigmentation; Melanocyte; Regulation; Tyrosinase; UV Damage; Skin Color; Genetics; Vitiligo; Adaptation,
T12203,Mobile Agent-Based Network Management,"This cluster of papers focuses on the use of mobile agent technology for network management, security, and fault tolerance in distributed systems. It explores applications in Internet and wireless computing, integration with SNMP and Java platform, and the use of XML-based management. The research also delves into the challenges and future directions of mobile agent technology in network management.",94141,274655,domains/3,Physical Sciences,fields/17,Computer Science,subfields/1705,Computer Networks and Communications,Mobile Agents; Network Management; Security; Distributed Systems; Fault Tolerance; Internet Applications; SNMP; Java Platform; Wireless Computing; XML-Based Management,
T10768,Electric Vehicles and Infrastructure,"This cluster of papers focuses on the integration of electric vehicles into power systems, including topics such as vehicle-to-grid technology, charging infrastructure, renewable energy integration, grid impact, battery technology, consumer adoption, smart grid interactions, life cycle assessment, and sustainability.",94120,931028,domains/3,Physical Sciences,fields/22,Engineering,subfields/2208,Electrical and Electronic Engineering,Electric Vehicles; Vehicle-to-Grid; Charging Infrastructure; Renewable Energy Integration; Grid Impact; Battery Technology; Consumer Adoption; Smart Grid; Life Cycle Assessment; Sustainability,
T12330,Botanical Research and Applications,"This cluster of papers explores the properties, sources, applications, and stability of betalains, particularly in relation to their antioxidant activity, nutritional significance, and potential health benefits. The research covers a wide range of topics including the extraction, characterization, and bioavailability of betalains from various plant sources, with a focus on Opuntia species. Additionally, the cluster delves into the use of betalains as natural colorants and their potential role in functional foods.",94105,430088,domains/1,Life Sciences,fields/11,Agricultural and Biological Sciences,subfields/1106,Food Science,Betalains; Antioxidant; Opuntia; Phytochemicals; Nutrition; Colorants; Cactus Pear; Bioactive Compounds; Health Benefits; Food Processing,
T11257,Taxation and Compliance Studies,"This cluster of papers explores the determinants, consequences, and enforcement strategies related to tax evasion, informal economy, and shadow economy. It covers topics such as tax compliance, tax morale, corruption, institutional quality, and the impact of fiscal policies on the labor market. The research also delves into the interplay between formal and informal sectors, as well as the role of enforcement mechanisms in influencing taxpayers' behavior.",94077,552944,domains/2,Social Sciences,fields/20,"Economics, Econometrics and Finance",subfields/2002,Economics and Econometrics,Tax Evasion; Informal Economy; Tax Compliance; Shadow Economy; Enforcement Strategies; Tax Morale; Corruption; Institutional Quality; Fiscal Policy; Labor Market,
